key_titulo	titulo_en	key_descripcion	descripcion_en
Foxwell_ShipAmbush_E_title_001	Yellow Level Contract: Surprise Strike		
Foxwell_ShipAmbush_H_title_001	Orange Level Contract: Return the Favor		
Foxwell_ShipAmbush_M_title_001	Orange Level Contract: Spring a Trap		
Foxwell_ShipAmbush_S_title_001	Red Level Contract: Surprise Attack		
Foxwell_ShipAmbush_VE_title_001	Yellow Level Contract: Ambush An Amateur		
Foxwell_ShipAmbush_VH_title_001	Red Level Contract: Ambush Attack Squad		
Foxwell_ShipWaveAttack_ClearHostiles_Title_E_001	Yellow Level Contract: Neutralize Shipjacking Gang	Foxwell_ShipWaveAttack_ClearHostiles_Desc_E_001	Okay, this might be a bit of stretch to do on your own, so if you got any favors to call in, it could be good to cash those chits now. There's a group of desperados striking delivery ships up and down this sector and we've been tasked with cleaning them up. \n\nOnce your crew is ready, head over to ~mission(Location|Address) and take the hostiles there down. Now, these bastards are a bit clever so they tend to split up into smaller packs. Make sure you wait around to clear every last one of them out.\n \nGood luck,\n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives."
Foxwell_ShipWaveAttack_ClearHostiles_Title_H_001	Orange Level Contract: Take Out Criminal Fleet	Foxwell_ShipWaveAttack_ClearHostiles_Desc_H_001	It seems that a couple of different small-time gangs have decided to pool their resources and start doing coordinated attacks. Alone, they weren't much, but all together they're proving to be a serious threat that has to be dealt with.\n\nRecruit some backup you can rely on and the fly over to ~mission(Location|Address). Once you attack the initial gang members you find there, the other groups will arrive to support them. Make sure you wait around to take out all of them.\n \nGood luck,\n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives.
Foxwell_ShipWaveAttack_ClearHostiles_Title_M_001	Orange Level Contract: Destroy Outlaw Threat	Foxwell_ShipWaveAttack_ClearHostiles_Desc_M_001	A splinter group of outlaws have broken off from one of the main gangs in the system and have been trying to strike out on their own. With the amount of trouble they've been causing its clear they're looking to establish a name for themselves as quickly as they can. It's going to be up to you and your support crew to put a stop to them.\n\nOnce your crew is ready, head over to ~mission(Location|Address) and engage with the gang. Not all of them will just be waiting there on site. Expect reinforcements to arrive once you begin your assault. Just be sure to stay until every last one of them has been take care of.\n \nGood luck,\n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives."
Foxwell_ShipWaveAttack_ClearHostiles_Title_VE_001	Yellow Level Contract: Clear Shipjacking Group	Foxwell_ShipWaveAttack_ClearHostiles_Desc_VE_001	There's a small group of criminals that have been marking their territory, striking out any freighters that get close enough. They got a little too greedy though, because now someone's paying us to go deal with them.\n\nOnce you and whoever you're bringing are ready, go to ~mission(Location|Address) and engage with these criminals. Since they like to fly in separate packs, be sure you wait around to clear every last one of them out.\n \nGood luck,\n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives.
FTL_Courier_Nyx_Easy_Title_001	ENTRY LVL. COURIER NEEDED IN NYX	FTL_Courier_Nyx_Easy_Desc_001	AVAILABLE FTL CONTRACT\nFOR IMMEDIATE ASSIGNMENT\n\n**CONTRACT DETAILS**\nFTL requires an entry-level courier to complete deliveries in Nyx.\nCourier must provide own transportation.\nPrior training in manual lifting is preferred, with the <EM4>ability to move boxes of up to .25 SCU</EM4> in weight.\nBy accepting this contract you agree to take full responsibility for the safety of the assigned packages.\n\n~mission(Contractor|SignOff)
FTL_Courier_Stanton_Easy_Title_001	ENTRY LVL. COURIER NEEDED IN STANTON	FTL_Courier_Stanton_Easy_Desc_001	AVAILABLE FTL CONTRACT\nFOR IMMEDIATE ASSIGNMENT\n\n**CONTRACT DETAILS** \nA reliable and hardworking entry-level courier is needed to ferry a delivery in Stanton.\nYou will be responsible for providing your own transportation.\nInterested contractors need the <EM4>ability to lift up to .25 SCU boxes</EM4>.\nContractors are employed on an independent basis and therefore not covered by FTL's company insurance.\n\n~mission(Contractor|SignOff)
FTL_Courier_Stanton_Medium_Title_001	JR. LVL. COURIER NEEDED IN STANTON	FTL_Courier_Stanton_Medium_Desc_001	AVAILABLE FTL CONTRACT\nFOR IMMEDIATE ASSIGNMENT\n\n**CONTRACT DETAILS**\nJunior-level courier needed for deliveries across the Stanton System.\nTransportation must be provided by courier.\nYou will be <EM4>required to lift up to .25 SCU</EM4> in weight.\nCouriers are responsible for the correct handling and safety of all packages charged to their care.\n\n~mission(Contractor|SignOff)
GMCapture_Title	Idris War Game	GMCapture_Desc	To test the preparedness of our response teams, we would like volunteers to simulate an assault against a CDF Idris by neutralizing and taking control of the vessel.\n\nTo be clear, the goal of the exercise is not to destroy the Idris, but for you to attempt to board the craft and maintain control of it as long as possible. Volunteers should expect to meet full resistance from the Idris' highly trained crew and are encouraged to get an updated imprint beforehand.\n\nCoordinates will be provided upon confirming your participation.\n\nThanks and good luck.  
Headhunters_bounty_title_001	Deadbeat	Headhunters_bounty_desc_001	The Headhunters recently loaned credits to ~mission(TargetName) under some clear conditions. Specifically, pay us back or we’ll kill you. Wild to think that wasn’t enough of an incentive, but here we are past the payment deadline. Now as much as we like ~mission(TargetName|First), I need you to make good on our promise.\n\n~mission(TargetName|Last) was last seen at ~mission(Location|Address). Track ‘em down, ghost ‘em, and get paid. It’s as simple as that. \n\nStows out.
Headhunters_bounty_title_002	Past Due	Headhunters_bounty_desc_002	Time is up for ~mission(TargetName). The skav is way past due on paying back the Headhunters, so I need you to punch them out. \n\nKill ‘em, not hit ‘em, just in case that’s unclear. \n\nSomeone recently spotted ~mission(TargetName|Last) around ~mission(Location|Address), so head there and take ‘em out.  \n\nFull disclosure, we’ve gotten reports they used some of our creds to hire extra protection. Prepare accordingly. \n\nStows out.
Headhunters_bounty_title_003	Collection Notice	Headhunters_bounty_desc_003	~mission(TargetName) borrowed a bunch of creds from the Headhunters and thought the smart move was to try and hide instead of paying us back, so I need someone to make an example of ~mission(TargetName|Last).\n\nThey were just spotted at ~mission(Location|Address), so I’d recommend heading there now before the trail goes cold. ~mission(TargetName|Last) is a paranoid sort, so don’t be surprised if they’re not alone. Handle it however you want as long as ~mission(TargetName|Last) is dust when you’re done.   \n\nStows out.
Headhunters_bounty_xenothreat_title_001	Preemptive Strike	Headhunters_bounty_xenothreat_desc_001	Headhunters got word there’s a XenoThreat op in the works that's targeting one of our crews. We don’t have precise details about the plan but we know that ~mission(TargetName) is organizing it. Instead of sitting back and waiting for something to happen, we’ve decided to be proactive. \n\n~mission(TargetName|Last) was just spotted with others around ~mission(Location|Address). We can’t mobilize anyone fast enough to get there. I want you to rush there and deliver a preemptive strike.   \n\nStows out. 
Headhunters_bounty_xenothreat_title_002	Payback	Headhunters_bounty_xenothreat_desc_002	XenoThreat recently hit a Headhunters' stronghold. I’ll spare you the details, but they did some truly heinous shit to our crew. We’ve identified the leader of the op as ~mission(TargetName) and are looking for a little payback. We don’t care what you do to get the job done. Only that ~mission(TargetName|Last) is dead. \n\nA source just told us that you can track down this XenoThreat scum over at ~mission(Location|Address). This sicko’s a pro and never travels alone, so don’t expect taking them out to be a walk in the park.  \n\nStows out. 
Headhunters_bounty_xenothreat_title_003	Exact Justice	Headhunters_bounty_xenothreat_desc_003	~mission(TargetName) was recently revealed to be a mole for XenoThreat. It all makes sense now because the skav was a major asshole. Unfortunately, they split before we could handle it ourselves. \n\nBased on all they learned about our ops, we need ‘em taken out pronto. They see one of us coming and they’ll just run again, but I figured someone like you has a better chance of getting close enough for a killshot. \n\nWe just got word ~mission(TargetName|Last) was hanging around ~mission(Location|Address). Looks like there’s other ships around protecting ‘em too. Think you got the skill to rid the ‘verse of a traitorous bastard and their bastard friends?  \n\nStows out.\n
headhunters_ChainElimAll_1C_AttackCFP_E_title_001	A little retaliation		
headhunters_ChainElimAll_1C_AttackXT_M_title_001	Taking out some XenoThreat trash		
headhunters_ChainElimAll_1C_ElimSpec_AttackCFP_M_title_001	Driving CFP out		
headhunters_ChainElimAll_2C_ElimSpec_AttackCFP_H_title_001	Sweep and clear some CFP haunts		
headhunters_ChainElimAll_2C_ElimSpec_AttackXT_H_title_001	Taking XenoThreat Turf		
headhunters_ChainElimAll_3C_ElimSpec_AttackCFP_VH_title_001	Hit a CFP Complex		
headhunters_ChainElimAll_3C_ElimSpec_AttackXT_VH_title_001	Taking down a XenoThreat Hideout		
headhunters_ChainElimAll_AttackCFP_E_title_001	Time to roll on CFP		
headhunters_ChainElimAll_AttackGen_E_title_001	Go on the warpath		
headhunters_ChainElimAll_Boss_XenoThreat_VH_title_001	Hit on XenoThreat command		
Headhunters_claimsweep_title_easy	Eliminate Eavesdroppers	Headhunters_claimsweep_desc_easy	Some numbskull is trying to dig up dirt on the Headhunters. Some orbital sentries were dropped at ~mission(location|address) to spy on us. We’ve also spotted a ship checking on them. Simple proposition for you. Go wipe out the sentries there and we’ll pay you for it. That sound like something you’d be into?\n\nAs for the ship, you can do whatever you want with it, but if it spots you, don’t be surprised if it tries to go get some back up. That’s just how these things go.\n\nStows out.
Headhunters_claimsweep_title_hard	Exterminate Eavesdroppers	Headhunters_claimsweep_desc_hard	Some idiots think they can blatantly spy on the Headhunters and get away with it. They’ve set up several orbital sentries at ~mission(location|address) and have a few ships patrolling the area. We don’t know who’s behind it but we honestly don’t care. We just need it gone. \n\nLet us know if you feel like putting some real brash bastards in their place. We’ll pay you well and deliver the creds the second the job is done. \n\nKeep in mind that it’s really only the sentries we care about. The ships they got patrolling are only a concern if they get in your way or if they try to call in some friends to stop you. \n \nStows out.
Headhunters_claimsweep_title_intro	Erase Eavesdropper	Headhunters_claimsweep_desc_intro	Got a minor annoyance the Headhunters need dealt with. There's an orbital sentry at ~mission(location|address) that some pesky little troublemaker set up to spy on our ops. Want to make some easy creds and go blow it up for us?\n\nStows out.
Headhunters_claimsweep_title_medium	Eradicate Eavesdroppers	Headhunters_claimsweep_desc_medium	Headhunters are looking for a merc to do a little clean up for us. Found out that someone’s trying to spy on us over at ~mission(location|address). Can’t let that stand. We need a skilled operator to take care of the orbital sentries they dropped there, and if needed, deal with any of their ships that get in your way. Seems like a decently run op, so hitting it might not be easy but it sure should be fun. \n\nLet us know if you’re the right one for the gig. Creds will be transferred once our scans show it’s gone. \n\nStows out.
headhunters_defend_Generic_M_Carvers_title_001	Take back Carvers Ridge		
headhunters_defend_Generic_M_GoldenRivera_title_001	Rally at ~mission(Location)		
headhunters_defend_Generic_M_TheYard_title_001	The Yard's under attack		
headhunters_defend_Generic_M_WindFall_title_001	Don't let Windfall Fall		
Headhunters_defend_XT_H_title_001	Halt XenoThreat Expansion		
headhunters_defend_xt_title_001	Back up needed at outpost		
Headhunters_defend_XT_VH_title_001	Block XenoThreat Expansion		
HeadHunters_DefendEntitesAndEscort_E_Title	Provide Protection at ~mission(Location)		
HeadHunters_DefendEntitesAndEscort_H_Title	Stop Rival Attack at ~mission(Location)		
HeadHunters_DefendEntitesAndEscort_M_Title	Secure ~mission(Location) from Upstarts		
HeadHunters_DefendEntitesAndEscort_S_Title	Guard ~mission(Location) From Rivals		
HeadHunters_DefendEntitesAndEscort_VE_Title	Keep ~mission(Location) Safe		
HeadHunters_DefendEntitesAndEscort_VH_Title	Defend ~mission(Location) From Mercs		
headhunters_eliminateall_base_Generic_E_title_001	Need a hitter		
Headhunters_eliminateall_caves_title_01	A Swift Reprisal	Headhunters_eliminateall_caves_desc_01	Hey,\n\nSome two-bit thugs are holed up in ~mission(Location|Address). Wouldn’t pay them any mind, except the arrogant skags tried to hit an outpost under our protection.\n\nWe chased 'em off with little trouble, but we can't let that kind of disrespect go unpunished. Our Clips are busy with some bigger fish, so we'd like you to take care of this for us. \n\nStows out.
headhunters_eliminateall_cfp_E_title_001	Hitting a CFP site		
headhunters_eliminateall_cfp_title_001	Looking for a little revenge		
headhunters_eliminateall_Generic_M_title_001	Wipe ~mission(Location) out		
Headhunters_EliminateAll_OLP_H_title_001	Deliver a Message		
headhunters_eliminateall_outpost_title_01	Reputation Management	headhunters_eliminateall_outpost_desc_01	Some assholes are refusing to pay us what we’re owed. Problem is, these idiots are bragging about it. Had they kept it quiet, we could’ve taken care of this more surgically, but now we need to send a message.\n\nThe fools are operating from ~mission(Location|Address). We need them all gone. Make it as loud as you can. We’ll send your payment once everyone’s taken care of.\n\n- Stows out.
Headhunters_EliminateAll_PAF_H_title_001	Show Them Who's Boss		
headhunters_eliminateall_retrievestolen_base_Generic_M_title_001	Death and cargo		
headhunters_eliminateall_retrievestolen_missingperson_base_Generic_M_title_001	A tricky tricky task		
headhunters_EliminateAll_XenoThreat_H_title_001	Hit XenoThreat at ~mission(Location)		
headhunters_eliminateall_XT_derelicts_title_01	Turf War		
headhunters_eliminateall_xt_title_001	Green light on ~mission(Location)		
Headhunters_EliminateBoss_OLP_VH_title_001	Settle a Grudge		
headhunters_EliminateSpecific_Asteroid_Generic_M_title_001	Need a death at ~mission(Location)		
headhunters_EliminateSpecific_Asteroid_Generic_VE_title_001	Deep space hit		
headhunters_EliminateSpecific_Carvers_XenoThreat_H_title_001	Need a scalpel at Carver's		
headhunters_EliminateSpecific_CFP_E_title_001	Shot in the chaos		
headhunters_EliminateSpecific_CFP_H_title_001	Paid Target in CFP		
headhunters_EliminateSpecific_CFP_M_title_001	Need a CFP taken down		
headhunters_EliminateSpecific_Defector_title_001	Plug a traitor		
headhunters_EliminateSpecific_Generic_E_title_001	Kill the king		
headhunters_EliminateSpecific_Generic_M_title_001	Need someone taken out		
headhunters_EliminateSpecific_Generic_VH_title_001	Green light on ~mission(TargetName|Last)		
Headhunters_EliminateSpecific_PAF_title_001	Ghost ~mission(TargetName)		
headhunters_EliminateSpecific_Riviera_XenoThreat_VH_title_001	Need a hit on the Riviera		
headhunters_EliminateSpecific_TheYard_XenoThreat_H_title_001	Hit on XenoThreat at the Yard		
headhunters_eliminatespecific_title_001	Ripe for Retribution 	headhunters_eliminatespecific_desc_001	Some interesting information just fell into my lap. Guess the notorious XenoThreat leader ~mission(TargetName) is holed up at ~mission(location|address) working on some big op for them. Perfect opportunity to kill the piece of shit once and for all.\n\nThing is, the Xenos have their eyes all over Headhunter operations at the moment. There’s no way we can mobilize and deploy a crew without ~mission(TargetName|Last) getting tipped off. So I’m offering you the chance to make Pyro a better place and earn some creds at the same time.\n\nIf interested, I suggest gearing up and finding some backup before heading out. You'll only get paid if you take out ~mission(TargetName|Last), but don’t hesitate to kill any other little XenoThugs that might be hiding there with ‘em.  \n\nStows out.
headhunters_EliminateSpecific_Windfall_XenoThreat_H_title_001	Head of the snake		
headhunters_EliminateSpecific_XenoThreat_H_title_001	XenoThreat Lieutenant needs some killing		
headhunters_EliminateSpecific_XenoThreat_title_001	Drop a XenoThreat		
headhunters_EliminateSpecific_XenoThreat_VH_title_001	Wanted: ~mission(TargetName)		
headhunters_killship_asteroid_rank0_title_001	Target takedown for a fast track in		
headhunters_killship_asteroid_rank1_title_001	Target at ~mission(Location) 		
headhunters_killship_cfp_hrt_title_001	Kill Order		
headhunters_killship_cfp_mrt_title_001	Hit a CFP Ship		
headhunters_killship_cfp_vhrt_title_001	Primo Target		
headhunters_killship_gen_hrt_title_001	Wanted: ~mission(TargetName)		
headhunters_killship_gen_lrt_title_001	Simple Hit		
headhunters_killship_gen_mrt_title_001	Treat yourself to a fight		
headhunters_killship_gen_vlrt_rank0_title_001	Wanna be a Headhunter?		
headhunters_killship_xenothreat_ert_title_001	Ghost some XenoTrash		
headhunters_multikillship_base_Generic_M_title_001	Crash some ships		
Headhunters_Theft_OLP_title_001	Opportunity Knocks at ~mission(Location)		
Headhunters_Theft_PAF_title_001	Steal Some ~mission(Item)		
HexPenetrator_Bounty_title	Overdrive Initiative: PRIORITY TARGETS	HexPenetrator_Bounty_desc	Our analysts have examined the intel seized from those XenoThreat recon teams but the data appears to be locked behind a sophisticated encryption system and requires a custom cryptokey to access.\n\nWe've managed to locate several XenoThreat lieutenants operating in the system, you are to find and engage the suspects and see if they are in possession of a cryptokey that will allows us to access the intel.\n\nAs a reminder, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_Comm_Title	Overdrive Initiative: XENOTHREAT SURVEILLANCE	HexPenetrator_Comm_Description	One of the suspects captured during the recent attacks revealed that XenoThreat is looking to remotely access a number of comm arrays around the system.\n\nHaving XenoThreat listening into comms is extremely dangerous for the people living here, so the CDF has been enlisted to reset the comm array, then defend it from any XenoThreat Vanguards that will attempt to reconnect to the servers. \n\nOnce those Vanguards have been defeated, clear out any remaining hostile ships in the area.\n\nAs a reminder, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_DataHeist_title	Overdrive Initiative: INTEL RAID	HexPenetrator_DataHeist_description	We've received tips that XenoThreat's intending to launch another attack on Stanton system. The CDF has petitioned the Advocacy to create a new initiative called Operation Overdrive to stop this attack before it happens. \n\nThe CDF is dispatching volunteers to infiltrate and obtain any intel that could give insight into what they're planning. Needless to say, expect heavy resistance from any XenoThreat on site.\n\nAs an added incentive, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_Incursion_Title	Overdrive Initiative: XENOTHREAT INCURSION	HexPenetrator_Incursion_Desc	Waves of XenoThreat ships have been pushing into Stanton system and attacking random civilians. We can't tell if this is an isolated attack or a reaction to our recent initiatives, but we need them stopped.\n\nAs a reminder, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_Kareah_Title	Overdrive Initiative: EMERGENCY AT KAREAH	HexPenetrator_Kareah_Desc	Attention all CDF volunteers, we received a distress call from Security Post Kareah. It turns out XenoThreat used the comm arrays as a distraction to lure law enforcement away so they could launch an attack on the station.\n\nWe've learned that they're attempting to access their systems, so all volunteers must immediately divert to retake Kareah and clear out all XenoThreat forces.\n\nAs a reminder, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_RecoverDeliver_title	Overdrive Initiative: SUPPLY REQUEST	HexPenetrator_RecoverDeliver_description	Attention CDF volunteers, XenoThreat's gone off the grid. We suspect that they have gone dark in order to prep for the final phase of their plan. \n\nHistory has proven that XenoThreat like to fight so it stands to reason that this might be an attack of some kind so we're calling on volunteers to deliver supplies to the Gateway station near the Stanton-Pyro jump point to shore up for a potential assault.\n\nAs a reminder, the military has generously donated some old F7A Hornets for CDF members who see this initiative through to the end.
HexPenetrator_RewardRecord_Title	Overdrive Initiative: Reward	HexPenetrator_RewardRecord_Desc	Thank you for your diligence on this Overdrive Initiative. \n\nAs promised, we've approved you for an upgrade from a civilian F7C mk ii to a military grade F7A mk ii if you have one.\n\nIn addition, you've been given a temporary rental of a military F7A mk ii that you can access in your ASOP.\n\n\n_________________\n\nTo upgrade, visit the RSI website to apply the token, then restart the game and access the ship.
hh_killanimals_e_derelictoutpostscaves_title_001	Deal with Kopions at ~mission(Location)		
hh_killanimals_h_derelictoutpostscaves_title_001	Butcher Kopion Pack at ~mission(Location)		
hh_killanimals_m_derelictoutpostscaves_title_001	Kill Kopions at ~mission(Location)		
Highpoint_KillAnimals_AtLocation_title	Pest Control		
Highpoint_KillAnimals_MultiType_H_title	Intensive Eradication Effort		
Highpoint_KillAnimals_MultiType_M_title	Cull Invasive Creatures		
Highpoint_KillAnimals_OneType_title	Reduce Overpopulation		
Highpoint_KillAnimals_PAF_Kopion_name	Kopion Culling Request		
Highpoint_KillAnimals_rockcracker_title_E_001	Reduce Valakkar Breaker Station Population		
Highpoint_KillAnimals_storm_H_title_001	Cull Irradiated Kopions		
Hockrow_FacilityDelve_P1M1_title	Jorrit Dossier: Onyx Personnel Files		
Hockrow_FacilityDelve_P1M2_title	Jorrit Dossier: Access Engineering Files		
Hockrow_FacilityDelve_P1M3_title	Jorrit Dossier: Access Research Files		
Hockrow_FacilityDelve_P2M1_Repeat_title	Jorrit Dossier: Updated Energy Anomaly Data		
Hockrow_FacilityDelve_P2M2_Repeat_title	Jorrit Dossier: Updated Security Data		
Hockrow_FacilityDelve_P2M3_Repeat_title	Jorrit Dossier: Updated Seismic Data		
Hockrow_FacilityDelve_P2M4_Repeat_title	Jorrit Dossier: Updated Power Usage Data		
Hurston_bounty_boss_dc_title_001	Elusive Bounty: ~mission(TargetName) (HRT)	Hurston_bounty_boss_dc_desc_001	HURSTON DYNAMICS OUTSOURCING\nCONTRACT: Bounty Collection\nOUTSOURCE MANAGER: I. Takao\nRISK ASSESSMENT: High Risk Target (Armed Support)\n\nHurston Dynamics is seeking a contractor to complete a bounty for ~mission(TargetName). This bounty has proven extremely elusive so far, but intel reports have tracked the target and a cohort of their known associates to ~mission(Location|Address). \n\nHowever, there is a strong chance that ~mission(TargetName|Last) will not risk a confrontation unless absolutely forced to. It is our recommendation that you neutralize a significant portion of the criminal’s allies first in order to draw them out. The report indicates that a large party of these hostiles are currently near the ~mission(Location).\n\nPayment will be released only after the bounty has been deemed complete.\n\n\n\n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **
hurston_bounty_fps_title_001	Entrenched Bounty: ~mission(TargetName) (MRT)	hurston_bounty_fps_UGF_nocivs_desc_001	HURSTON DYNAMICS\nOUTSOURCING DEPARTMENT\n\nCONTRACT: Bounty Collection\nCONTRACTOR AFFILIATION: Independent\nOUTSOURCE MANAGER: L. Paleski\nRISK ASSESSMENT: Moderate Risk Target (Likely Armed Support)\nRUSH CONTRACT: No\n\nHurston Dynamics is seeking a contractor to complete a bounty for ~mission(TargetName). \n\nIntel reports have located the current whereabouts of the target to ~mission(Location|Address).  While you are clear to engage with any criminals at the site as you see fit, any civilians at the location are to be protected.\n\nPayment will be released only after the bounty has been deemed complete.\n \n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **\n\n
Hurston_bounty_multiboss_dc_title_001	Evasive Bounty: ~mission(TargetName) (VHRT)	Hurston_bounty_multiboss_dc_desc_001	HURSTON DYNAMICS OUTSOURCING\nCONTRACT: Bounty Collection\nOUTSOURCE MANAGER: I. Takao\nRISK ASSESSMENT: Very High Risk Target (Armed Support)\n\nHurston Dynamics is seeking a contractor to complete a bounty for ~mission(TargetName). This target and the large hostile force they are traveling with have just been reported raiding ~mission(Location|Address). \n\nHowever, if their MO holds true, ~mission(TargetName|Last) has typically remained hidden during attacks, preferring to direct their forces from afar. It is our recommendation that you focus on thinning out their allies first, and once their numbers have been significantly weakened, ~mission(TargetName|Last) will have no choice but to confront you directly. \n\nPayment will be released only after the bounty has been deemed complete.\n\n\n\n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **\n
hurston_bounty_title_E	Wanted: ~mission(TargetName) (LRT)	bounty_desc	~mission(Contractor|BountyDescription)
hurston_bounty_title_H	Wanted: ~mission(TargetName) (HRT)	bounty_desc	~mission(Contractor|BountyDescription)
hurston_bounty_title_intro_001	Bounty Hunter Contractor Evaluation 	hurston_bounty_desc_intro	HURSTON DYNAMICS\nOUTSOURCING DEPARTMENT\n\nCONTRACT: Bounty Collection\nCONTRACTOR AFFILIATION: Independent\nOUTSOURCE MANAGER: ~mission(Contractor|Auth)\nRISK ASSESSMENT: ~mission(Danger)\nRUSH CONTRACT: ~mission(Contractor|BountyTimed)\n\nAfter repeated and continual misdemeanor offenses, a bounty has been issued for the following individual - ~mission(TargetName).\n \nTo evaluate your potential in assisting in the capture of more elusive criminals, Hurston Dynamics will be evaluating your ability to locate and apprehend ~mission(TargetName|Last) by any means at your disposal. The latest intel on ~mission(TargetName|Last)'s current whereabouts has them last seen at ~mission(Location|Address).\n\nPayment will be released only after the bounty is dealt with. \n \n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **
hurston_bounty_title_M	Wanted: ~mission(TargetName) (MRT)	bounty_desc	~mission(Contractor|BountyDescription)
hurston_bounty_title_rehire	Bounty Hunter Contractor Reevaluation 	hurston_bounty_desc_rehire	HURSTON DYNAMICS\nOUTSOURCING DEPARTMENT\n\nCONTRACT: Bounty Collection\nCONTRACTOR AFFILIATION: Independent\nOUTSOURCE MANAGER: ~mission(Contractor|Auth)\nRISK ASSESSMENT: ~mission(Danger)\nRUSH CONTRACT: ~mission(Contractor|BountyTimed)\n\nOur department preforms periodic reevaluations of past bounty hunters and have determined that you may be a suitable candidate for possible reinstatement.\n\nAs a demonstration of your suitability, successfully apprehend the following wanted individual: \n~mission(TargetName).\n \nThe latest intel on ~mission(TargetName|Last)'s current whereabouts is that they were last spotted at ~mission(Location|Address).\n\nReinstatement as a Hurston Dynamics bounty hunter and payment will follow the successful completion of this contract.\n \n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **
hurston_bounty_title_S	Wanted: ~mission(TargetName) (ERT)	bounty_desc	~mission(Contractor|BountyDescription)
hurston_bounty_title_VE	Wanted: ~mission(TargetName) (VLRT)	bounty_desc	~mission(Contractor|BountyDescription)
hurston_bounty_title_VH	Wanted: ~mission(TargetName) (VHRT)	bounty_desc	~mission(Contractor|BountyDescription)
Hurston_eliminateall_dc_title_001	Neutralize Outlaw Incursion	Hurston_eliminateall_dc_desc_001	HURSTON DYNAMICS OUTSOURCING\nCONTRACT: Neutralize Hostile Force\nOUTSOURCE MANAGER: T. Dalik\nRISK ASSESSMENT: High\n\nOur security forces have been notified of an ongoing outlaw incursion at ~mission(Location|Address), and we are in need of an independent operator capable of clearing out the hostile actors. \n\nAccording to onsite personnel, the outlaws are currently holed up near the ~mission(Location). Approach with caution and be prepared to use lethal force if the outlaws resist being removed.\n\nPayment will only be authorized once the location has been effectively cleared.\n\n\n\n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination, or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **\n
Hurston_eliminatespecifc_dc_title_001	Bounty Located: ~mission(TargetName) (MRT)	Hurston_eliminatespecifc_dc_desc_001	HURSTON DYNAMICS OUTSOURCING\nCONTRACT: Bounty Collection\nOUTSOURCE MANAGER: T. Davik\nRISK ASSESSMENT: Moderate Risk Target\n\nHurston Dynamics is seeking a contractor to complete a bounty for ~mission(TargetName). Intel reports have tracked the target to ~mission(Location|Address) where they were last seen near the ~mission(Location). \n\nBe prepared for them to resist apprehension and for the use of lethal force if required.\n\nPayment will be released only after the bounty has been deemed complete.\n \n\n\n\n** The information transmitted may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. **\n
